host,external_salon_id,salon_name,external_therapist_id,therapist_url,fetch_status,http_status,parsed_count,sample_records,error
meguro-e.com,60e47840-089c-465d-92c0-16a92b5b858e,エステスパ,95894b4a-6011-4fbd-b13f-031040029258,https://meguro-e.com/profile.php?sid=231,ok,200,0,[],
melt-rich.com,4b9434bf-8027-4172-9716-2b86aca6aae0,メルトリッチ,c11d9465-9b9c-4648-b3b9-5ef55bb860e0,https://melt-rich.com/profile?lid=21,ok,200,0,[],
men-esthe.jp,5e0ca97d-a0fd-4910-a785-bd3cd4574fcd,ゴールド 元ザクラス,c22da1b8-cfb1-4403-804b-5b235fc28275,https://men-esthe.jp/admin/add-therapist.php?salon_id=5608,ok,200,0,[],
menes-grace.com,7722f980-6fb7-40a2-9efa-a521d05f985d,グレイス 成増,87872621-fa4e-497b-b80c-6fc7ac6fdfb3,https://menes-grace.com/cast/cast-2526/,ok,200,0,[],
menesu-akihabara.jp,d6a1dd84-6b4b-465d-b4d1-823f7d918a22,コットンスパ,d9bfabca-eb18-434a-98dc-f7a435cd2af0,https://menesu-akihabara.jp/therapist/61147,ok,200,0,[],
mens-este.com,766f085c-9f6d-4769-a687-96c95dcf5d33,メンズエステ恵比寿,a2c1033c-c6a0-4990-9e32-1e25d64ae22c,https://mens-este.com/therapist/profile.php?id=1539,ok,200,1,"[{""date"":""2026-05-25"",""shift_start"":""10:00:00"",""shift_end"":""18:00:00""}]",
mens-esthe-aroma.site,b8b750a6-a6dc-4e67-bed7-7c86709b11cd,小悪魔スパトウキョウ,0a8a8e99-2915-4cfb-8551-7330c519f00d,https://mens-esthe-aroma.site/therapist.html?id=1737,ok,200,0,[],
mens-spa-bell.com,280fce19-45a0-48b0-bedc-8e04a70486f6,Men's Spa Bell (ベル),6e391af1-c2f9-42be-aaf8-95dc1952673b,https://mens-spa-bell.com/profile?lid=8,ok,200,0,[],
mensesthe-nippombashi.com,fe5c4a0c-ffff-4ec0-b727-5eae4a8742e5,メンズエステ日本橋,51fd0025-e804-4f97-b63d-1c775aebf2cd,https://mensesthe-nippombashi.com/profile?lid=4,ok,200,0,[],
mensesthe-yohaku.com,75a411dc-ea6b-47b0-80df-082580b087be,余白 町田,d812a3fd-dec0-4961-9324-255c5686bf82,https://mensesthe-yohaku.com/profile?lid=21,ok,200,0,[],
mensspa-r.com,b01bf044-02c1-41a7-b0f2-948f99076436,メンズスパ アール,16480873-de79-4bec-844d-86ea0714af93,https://mensspa-r.com/lady_detail.php?lady_num=118319,ok,200,0,[],
